Time,ANALOG.AN_T1_Temperature,ANALOG.AN_Ngp_SP,ANALOG.AN_Guide_Vane_Position,ANALOG.AN_Gen_kW_SP,ANALOG.AN_Lube_Oil_Header_Temp,ANALOG.AN_Lube_Oil_Header_Press,ANALOG.AN_Gen_Exc_V,ANALOG.AN_Guide_Vane_Force,ANALOG.AN_Gas_Fuel_Press,ANALOG.AN_Gen_AVR_SP,ANALOG.AN_SoloNox_T5_SP,ANALOG.AN_Gas_Fuel_Flow,ANALOG.AN_Main_Gas_Valve_Position
2022-09-01 16:00,24.5556,100.6318,87.3718,13016.3467,63.1111,266.9508,30.4063,402.8221,2553.9328,13704.9248,743.3333,2597.7324,57.9487
2022-09-01 16:10,24.6111,100.6349,87.3718,13016.3467,62.9444,268.7188,30.8965,350.4372,2552.3859,13704.9248,743.3333,2582.0307,57.8526
2022-09-01 16:20,24.3889,100.6295,87.3718,13009.1348,63,266.9508,30.7363,350.4372,2540.011,13704.9248,743.3333,2578.5417,58.141
2022-09-01 16:30,24.8889,100.6481,87.3397,13009.1348,63,267.3928,30.541,343.2117,2495.1509,13704.9248,743.3333,2545.3939,58.5897
2022-09-01 16:40,24.2222,100.5963,87.3718,13009.1348,63.0556,267.3928,29.1309,279.9885,2553.9328,13704.9248,743.3333,2658.7937,58.109
2022-09-01 16:50,23.8889,100.5794,87.3718,13009.1348,63.0556,268.2768,29.6836,341.4053,2587.9645,13704.9248,743.3333,2662.2832,57.5
2022-09-01 17:00,24,100.5671,87.3718,13016.3467,63.0556,265.6249,30.0742,296.2459,2584.8711,13704.9248,743.3333,2679.7293,57.7244
2022-09-01 17:10,23.6667,100.5808,87.3718,13016.3467,63.0556,266.5089,30.0371,332.3734,2509.0727,13704.9248,743.3333,2566.3293,58.6859
2022-09-01 17:20,22.7778,100.5432,87.3718,13016.3467,63.0556,266.9508,31.1523,287.214,2526.0887,13704.9248,743.3333,2595.9878,58.8141
2022-09-01 17:30,22.6667,100.4988,87.3718,13009.1348,63.0556,269.1607,30.7363,305.2778,2606.5275,13704.9248,743.3333,2716.3661,57.5321
2022-09-01 17:40,22.8333,100.5251,87.3718,13009.1348,63.1111,266.9508,29.8301,225.7972,2470.4004,13704.9248,743.3333,2604.7107,59.8718
2022-09-01 17:50,22.6667,100.5456,87.4038,13016.3467,62.9444,268.7188,30.332,276.3757,2470.4004,13704.9248,743.3333,2578.5417,59.8718
2022-09-01 18:00,22.5,100.5253,87.3718,13016.3467,62.8889,265.183,30.3438,270.9566,2467.3065,13704.9248,743.3333,2583.7754,59.8718
2022-09-01 18:10,22.6111,100.527,87.3718,13009.1348,63.0556,266.5089,31.3359,267.3439,2464.2126,13704.9248,743.3333,2592.4985,60.0641
2022-09-01 18:20,22.3889,100.5328,87.3718,13016.3467,63.1111,267.8348,30.0371,260.1183,2522.9948,13704.9248,743.3333,2662.2832,59.1987
2022-09-01 18:30,22.5,100.5108,87.3397,13016.3467,63.0556,267.8348,30.2344,279.9885,2465.7598,13704.9248,743.3333,2585.52,60.3205
2022-09-01 18:40,22.6111,100.5068,87.3718,13016.3467,62.8889,268.2768,30.9082,233.0227,2464.2126,13704.9248,743.3333,2595.9878,60.1603
2022-09-01 18:50,22.5,100.5027,87.3718,13016.3467,62.8889,267.3928,30.3691,252.8928,2501.3384,13704.9248,743.3333,2650.0707,59.391
2022-09-01 19:00,22.5,100.5199,87.3718,13009.1348,63.1111,265.6249,30.9316,285.4076,2501.3384,13704.9248,743.3333,2655.3046,59.4231
2022-09-01 19:10,22.5,100.5303,87.3718,13009.1348,62.8889,268.2768,29.3652,330.567,2540.011,13704.9248,743.3333,2620.4124,58.6218
2022-09-01 19:20,22.4444,100.517,87.3718,13016.3467,62.8333,267.3928,29.584,330.567,2566.3082,13704.9248,743.3333,2644.8368,58.109
2022-09-01 19:30,22.2778,100.5429,87.3718,13016.3467,62.8889,267.3928,30.2715,314.3097,2564.7612,13704.9248,743.3333,2655.3046,58.3013
2022-09-01 19:40,22.0556,100.4716,87.3718,13009.1348,62.9444,267.3928,29.3516,335.9862,2603.4336,13704.9248,743.3333,2728.5783,57.8526
2022-09-01 19:50,21.6667,100.4877,87.3718,13009.1348,62.9444,266.5089,29.3516,346.8244,2482.7755,13704.9248,743.3333,2590.7539,59.9038
2022-09-01 20:00,20.8889,100.481,87.4038,13009.1348,62.9444,266.9508,27.832,379.3392,2544.6516,13704.9248,743.3333,2646.5815,58.8141
2022-09-01 20:10,20.2778,100.4317,87.4038,13016.3467,62.8889,266.0669,32.1074,420.8859,2541.5577,13704.9248,743.3333,2637.8585,58.9103
2022-09-01 20:20,19.7778,100.404,87.3718,13016.3467,62.8889,266.9508,45.6211,372.1138,2580.2302,13704.9248,743.3333,2714.6215,58.4936
2022-09-01 20:30,19.6111,100.4016,87.3718,13016.3467,62.8889,267.3928,32.0586,328.7607,2535.3701,13704.9248,743.3333,2651.8154,59.391
2022-09-01 20:40,19.2778,100.3732,87.3718,13016.3467,62.8333,267.3928,30.2832,323.3415,2470.4004,13704.9248,743.3333,2632.6246,60.641
2022-09-01 20:50,19,100.355,87.3718,13016.3467,62.8333,266.9508,30.9805,346.8244,2592.6054,13704.9248,743.3333,2758.2371,58.4295
2022-09-01 21:00,18.9444,100.3522,87.4038,13016.3467,62.8333,267.3928,30.9805,308.8905,2516.8072,13704.9248,743.3333,2691.9415,59.9038
2022-09-01 21:10,18.7778,100.3569,87.3718,13009.1348,62.7778,267.8348,29.916,256.5056,2603.4336,13704.9248,743.3333,2765.2154,58.5256
2022-09-01 21:20,18.5,100.3364,87.3718,13016.3467,62.7778,267.8348,32.832,278.1821,2470.4004,13704.9248,743.3333,2643.0924,60.5449
2022-09-01 21:30,18.5,100.3326,87.3718,13009.1348,62.7778,266.5089,28.875,321.5352,2468.8532,13704.9248,743.3333,2650.0707,60.8654
2022-09-01 21:40,18.2778,100.3094,87.4038,13009.1348,62.8333,267.3928,29.7441,341.4053,2465.7598,13704.9248,743.3333,2664.0276,61.25
2022-09-01 21:50,18.1667,100.311,87.3718,13016.3467,62.7222,268.7188,28.8379,281.7949,2526.0887,13704.9248,743.3333,2730.3232,59.9038
2022-09-01 22:00,18,100.3284,87.3718,13009.1348,62.7222,267.8348,29.1191,227.6035,2526.0887,13704.9248,743.3333,2658.7937,59.8718
2022-09-01 22:10,17.9444,100.3308,87.3718,13009.1348,62.7778,266.9508,28.4707,243.8609,2591.0584,13704.9248,743.3333,2747.7693,58.8141
2022-09-01 22:20,17.6667,100.3166,87.3718,13016.3467,62.7222,267.8348,31.2148,236.6354,2522.9948,13704.9248,743.3333,2658.7937,60.0321
2022-09-01 22:30,17.2222,100.2876,87.4038,13016.3467,62.7222,266.5089,25.7871,321.5352,2471.9471,13704.9248,743.3333,2662.2832,61.0897
2022-09-01 22:40,17.1111,100.2742,87.3718,13016.3467,62.7222,267.3928,30.0625,229.4099,2595.6993,13704.9248,743.3333,2782.6615,58.9744
2022-09-01 22:50,16.8889,100.2781,87.3718,13009.1348,62.7778,266.5089,27.5996,292.6331,2510.6197,13704.9248,743.3333,2660.5385,60.4487
2022-09-01 23:00,16.7778,100.295,87.3718,13009.1348,62.7222,267.8348,30.1973,251.0865,2591.0584,13704.9248,743.3333,2779.1722,58.9744
2022-09-01 23:10,16.3333,100.2486,87.4038,13016.3467,62.6667,269.1607,33.9707,352.2436,2603.4336,13704.9248,743.3333,2791.3849,59.0064
2022-09-01 23:20,16.0556,100.232,87.3718,13009.1348,62.6667,266.5089,31.373,225.7972,2550.8392,13704.9248,743.3333,2782.6615,59.5513
2022-09-01 23:30,15.9444,100.2609,87.4038,13016.3467,62.6667,267.3928,31.5566,260.1183,2504.4319,13704.9248,743.3333,2671.0061,60.641
2022-09-01 23:40,16.2222,100.2588,87.3718,13016.3467,62.7222,266.9508,32.4629,191.476,2485.8694,13704.9248,743.3333,2660.5385,61.0256
2022-09-01 23:50,15.9444,100.2417,87.4038,13016.3467,62.6667,269.1607,27.8086,321.5352,2498.2443,13704.9248,743.3333,2679.7293,60.8654
2022-09-02 0:00,15.8333,100.2357,87.4038,13009.1348,62.7222,266.9508,31.5703,357.6627,2495.1509,13704.9248,743.3333,2672.7507,60.9615
2022-09-02 0:10,15.5556,100.2449,87.3718,13016.3467,62.6667,266.5089,23.9375,260.1183,2594.1525,13704.9248,743.3333,2789.64,59.4872
2022-09-02 0:20,15.5556,100.2064,87.3718,13009.1348,62.6667,266.5089,28.8125,216.7653,2519.9011,13704.9248,743.3333,2688.4522,60.5449
2022-09-02 0:30,15.3333,100.1928,87.4038,13009.1348,62.6667,266.5089,30.5898,341.4053,2476.588,13704.9248,743.3333,2702.4093,61.7308
2022-09-02 0:40,15.2222,100.2003,87.4038,13009.1348,62.6667,266.5089,31.9004,267.3439,2591.0584,13704.9248,743.3333,2798.3632,59.8718
2022-09-02 0:50,14.9444,100.185,87.4038,13009.1348,62.6111,266.5089,30.0879,319.7288,2509.0727,13704.9248,743.3333,2765.2154,60.9615
2022-09-02 1:00,15.0556,100.1987,87.4038,13009.1348,62.6111,266.5089,33.6035,305.2778,2594.1525,13704.9248,743.3333,2803.5971,59.5833
2022-09-02 1:10,15,100.1883,87.4038,13009.1348,62.6667,267.8348,32.1816,247.4737,2471.9471,13704.9248,743.3333,2718.1107,61.9231
2022-09-02 1:20,15.2222,100.1973,87.4038,13009.1348,62.6667,267.8348,29.7676,200.5079,2459.5718,13704.9248,743.3333,2695.4307,61.9231
2022-09-02 1:30,15.2222,100.216,87.3718,13016.3467,62.6667,267.8348,30.541,200.5079,2558.5735,13704.9248,743.3333,2730.3232,60.2564
2022-09-02 1:40,15.1667,100.1976,87.4038,13016.3467,62.6667,269.6027,30.418,245.6673,2546.1983,13704.9248,743.3333,2793.1293,60.3526
2022-09-02 1:50,15,100.1795,87.4038,13009.1348,63,268.7188,30.8965,276.3757,2581.7772,13704.9248,743.3333,2812.32,59.8718
2022-09-02 2:00,14.8889,100.2016,87.4038,13016.3467,62.6111,267.3928,31.4707,249.2801,2522.9948,13704.9248,743.3333,2718.1107,60.8654
2022-09-02 2:10,14.9444,100.1697,87.4038,13016.3467,62.6667,267.3928,29.916,263.7311,2570.9488,13704.9248,743.3333,2805.3415,60.0641
2022-09-02 2:20,14.8889,100.1887,87.4038,13009.1348,62.6667,267.3928,30.6992,316.116,2465.7598,13704.9248,743.3333,2697.1754,61.9551
2022-09-02 2:30,14.7778,100.177,87.4038,13009.1348,62.6111,268.2768,30.4063,305.2778,2465.7598,13704.9248,743.3333,2712.8768,62.0192
2022-09-02 2:40,14.8333,100.1802,87.4038,13016.3467,62.6111,270.0447,30.3926,301.665,2560.1206,13704.9248,743.3333,2807.0861,60.1603
2022-09-02 2:50,14.8889,100.1772,87.4038,13009.1348,62.6111,266.5089,29.4375,278.1821,2464.2126,13704.9248,743.3333,2698.92,62.0192
2022-09-02 3:00,14.8889,100.1875,87.4038,13009.1348,62.6111,265.6249,29.7441,233.0227,2459.5718,13704.9248,743.3333,2697.1754,62.1154
